;Volumen de la conversación;Discusión negativa;Discusión positiva
24/12/2018;436;48;373
25/12/2018;395;31;340
26/12/2018;567;192;359
27/12/2018;531;237;276
28/12/2018;547;191;316
29/12/2018;913;343;535
30/12/2018;639;146;470
31/12/2018;472;178;291
1/01/2019;328;62;263
2/01/2019;768;63;696
3/01/2019;1009;104;916
4/01/2019;1465;211;1243
5/01/2019;1260;207;1112
6/01/2019;1577;139;1463
7/01/2019;1167;95;1060
8/01/2019;877;106;714
9/01/2019;831;117;684
10/01/2019;2048;242;1757
11/01/2019;1554;221;1376
12/01/2019;1476;137;1336
13/01/2019;1889;532;1362
14/01/2019;895;277;605
15/01/2019;904;193;688
16/01/2019;681;119;548
17/01/2019;1105;107;957
18/01/2019;789;130;519
19/01/2019;408;105;264
20/01/2019;990;206;790
21/01/2019;3298;683;2495
