DEPARTAMENTO,MUNICIPIO,DIVIPOLA,FB key,lat,long,poblacion,venezuelan_mau_sep,venezuelan_dau_sep,indicador_presion_sep,venezuelan_mau_oct15,venezuelan_dau_oct15,indicador_presion_oct15,venezuelan_mau_oct30,venezuelan_dau_oct30,indicador_presion_oct30,venezuelan_mau_nov15,venezuelan_dau_nov15,indicador_presion_nov15,venezuelan_mau_nov30,venezuelan_dau_nov30,indicador_presion_nov30,venezuelan_mau_dec15,venezuelan_dau_dec15,indicador_presion_dec15,venezuelan_mau_dec30,venezuelan_dau_dec30,indicador_presion_dec30,venezuelan_mau_jan15,venezuelan_dau_jan15,indicador_presion_jan15,venezuelan_mau_jan30,venezuelan_dau_jan30,indicador_presion_jan30,venezuelan_mau_feb15,venezuelan_dau_feb15,indicador_presion_feb15,venezuelan_mau_feb28,venezuelan_dau_feb28,indicador_presion_feb28
#adm1+name,#adm2+name,#adm2+pcode,#adm2+fbcode,#geo+lat,#geo+long,#population+total,#inneed+migrants+monthly,#inneed+migrants+daily,#indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate,inneed+migrants+monthly,inneed+migrants+daily,indicator+rate
Santander,Jesus Maria,68368,468305,5.9166667,-73.8333333,3045,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Jordan,68370,468356,6.75,-73.0666667,1089,0,0,0,0,0,0.0,1000,997,91827.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1000,997,91827.0,0,0,0.0,0,0,0.0
Santander,La Belleza,68377,468843,5.8613889,-73.9683333,8596,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,La Paz,68397,470715,6.25,-73.4666667,5027,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Landazuri,68385,470546,6.2238889,-73.8127778,15430,997,997,6461,1000,498,6480.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1000,498,6480.0,0,0,0.0,0,0,0.0,1000,332,6480.0
Santander,Lebrija,68406,472305,7.4166667,-73.4166667,41122,749,749,1821,1000,664,2431.0,1000,499,2431.0,1000,997,2431.0,0,0,0.0,0,0,0.0,1000,332,2431.0,1000,997,2431.0,0,0,0.0,1000,332,2431.0,1000,199,2431.0
Santander,Los Santos,68418,473183,6.9166667,-73.0833333,12539,332,332,2648,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1000,997,7975.0,1000,997,7975.0
Santander,Macaravita,68425,473325,6.5833333,-72.5333333,2263,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Malaga,68432,473473,6.7833333,-72.6666667,18271,665,665,3640,1000,428,5473.0,1000,454,5473.0,1000,461,5473.0,1000,666,5473.0,1000,583,5473.0,1000,555,5473.0,1000,499,5473.0,1000,461,5473.0,1000,499,5473.0,1000,642,5473.0
Santander,Matanza,68444,473903,7.4166667,-73.0833333,5147,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Mogotes,68464,474354,6.5833333,-72.9166667,10864,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Molagavita,68468,474368,6.75,-72.75,5029,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Ocamonte,68498,475135,6.4166667,-73.0833333,4702,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1000,997,21267.0,1000,997,21267.0,1000,997,21267.0,1000,997,21267.0,1000,997,21267.0
Santander,Oiba,68500,475153,6.3,-73.25,11980,498,498,4157,1000,997,8347.0,1000,997,8347.0,1000,997,8347.0,0,0,0.0,0,0,0.0,1000,498,8347.0,1000,498,8347.0,1000,997,8347.0,0,0,0.0,0,0,0.0
Santander,Onzaga,68502,475191,6.3333333,-72.75,4895,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Palmar,68522,475454,6.5833333,-73.25,3474,997,997,28699,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Palmas del Socorro,68524,475463,6.45,-73.25,2196,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Santander,Paramo,68533,475737,6.5,-73.1333333,4252,997,997,23448,1000,997,23518.0,1000,997,23518.0,1000,997,23518.0,1000,997,23518.0,1000,997,23518.0,0,0,0.0,1000,664,23518.0,1000,997,23518.0,1000,997,23518.0,1000,997,23518.0
Santander,Piedecuesta,68547,476209,5.8383333,-74.0366667,159760,2800,1604,1753,2700,1316,1690.0,3500,1944,2190.0,3900,2247,2441.0,3400,2236,2128.0,3300,1885,2065.0,3300,1814,2065.0,3500,1792,2190.0,4500,2716,2816.0,4500,2851,2816.0,6100,3406,3818.0
Santander,Pinchote,68549,476297,6.5833333,-73.1666667,5460,0,0,0,0,0,0.0,1000,997,18315.0,1000,332,18315.0,1000,664,18315.0,1000,997,18315.0,1000,664,18315.0,1000,399,18315.0,1000,997,18315.0,1000,332,18315.0,1000,749,18315.0
Santander,Puente Nacional,68572,476936,5.9166667,-73.5833333,11900,997,997,8378,1000,664,8403.0,1000,664,8403.0,1000,997,8403.0,1000,664,8403.0,1000,498,8403.0,1000,997,8403.0,1000,997,8403.0,1000,498,8403.0,1000,498,8403.0,1000,498,8403.0
Santander,Puerto Parra,68573,477263,6.6516667,-74.0608333,7891,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
